"","dist_F7413","dist_F7537","dist_F9689","RID","min_dist","min_FID","min_inv_dist","Block_y","Tract","BID"
"1461",26,73,73,10806,26,"7413",0.0384615384615385,2047,516,"2047516"
"1462",24,71,77,7498,24,"7413",0.0416666666666667,2047,516,"2047516"
"1463",33,80,78,9983,33,"7413",0.0303030303030303,2047,516,"2047516"
"1464",29,76,82,10625,29,"7413",0.0344827586206897,2047,516,"2047516"
"1465",35,82,76,9208,35,"7413",0.0285714285714286,2047,516,"2047516"
"1466",37,84,74,9699,37,"7413",0.027027027027027,2047,516,"2047516"
"1467",40,87,64,10056,40,"7413",0.025,2047,516,"2047516"
"1468",41,88,70,10058,41,"7413",0.024390243902439,2048,516,"2048516"
"1469",37,84,74,9893,37,"7413",0.027027027027027,2048,516,"2048516"
"1470",31,78,80,7928,31,"7413",0.032258064516129,2048,516,"2048516"
"1471",33,80,78,7581,33,"7413",0.0303030303030303,2048,516,"2048516"
"1472",29,76,82,9483,29,"7413",0.0344827586206897,2048,516,"2048516"
"1473",37,84,87,8008,37,"7413",0.027027027027027,2048,516,"2048516"
"1474",41,88,83,7930,41,"7413",0.024390243902439,2048,516,"2048516"
"1475",39,86,85,9007,39,"7413",0.0256410256410256,2048,516,"2048516"
"1476",45,92,79,7584,45,"7413",0.0222222222222222,2048,516,"2048516"
"1477",46,93,78,7267,46,"7413",0.0217391304347826,2048,516,"2048516"
"1478",48,95,76,8225,48,"7413",0.0208333333333333,2048,516,"2048516"
"1479",46,93,78,8085,46,"7413",0.0217391304347826,2049,516,"2049516"
"1480",37,84,87,8714,37,"7413",0.027027027027027,2049,516,"2049516"
"1481",54,101,82,7810,54,"7413",0.0185185185185185,2049,516,"2049516"
"1482",56,103,80,9990,56,"7413",0.0178571428571429,2049,516,"2049516"
"1483",51,98,85,8437,51,"7413",0.0196078431372549,2050,516,"2050516"
"1484",56,103,93,9278,56,"7413",0.0178571428571429,2051,516,"2051516"
"1485",59,106,103,10491,59,"7413",0.0169491525423729,2051,516,"2051516"
"1486",64,111,98,10819,64,"7413",0.015625,2052,516,"2052516"
"1487",62,109,100,10135,62,"7413",0.0161290322580645,2052,516,"2052516"
